,omp 0 100,sycl 0 100,hip 0 100
Runtime,10254976809.0,10618445615.0,9863541314.0
SALU Instructions per wave,93721.0,76828.0,84005.0
VALU Instructions per wave,0.0,0.0,0.0
IPC,1.07,1.05,1.07
L1 Requests per wave,208.0,208.0,208.0
L1 Hit Rate,0.0,0.0,0.0
L2 Requests per wave,52.03,52.03,52.03
L2 Hit Rate,0.0,0.02,0.02
Wavefront Occupancy (% of peak),1789.72,1790.91,1791.23
Dependency Wait Cycles per wave,876635.36,640766.22,1004418.71
Issue Wait Cycles per wave,9977253.41,10721791.81,9454182.23
Grid Size,1048576.0,1048576.0,1048576.0
#Threads,256.0,256.0,256.0
Shared Memory Allocated,15872.0,15360.0,15360.0
Shared Memory Instructions per wave,15374.25,14848.0,13312.0
Shared Memory Bank Conflicts (%),0.0,0.0,0.0
Register Spill Instructions per wave,0.0,0.0,0.0
Global Memory Instructions per wave,13.0,13.0,13.0
Global Memory Read Instructions per wave,11.0,11.0,11.0
Global Memory Write Instructions per wave,2.0,2.0,2.0
Coalesced Instructions (% of peak),100.0,100.0,100.0
Global Atomic Operations per wave,0.0,0.0,0.0
SALU Instructions,1535524864.0,1258749952.0,1376337920.0
VALU Instructions,0.0,0.0,0.0
L1 Requests,3407872.0,3407872.0,3407872.0
L2 Requests,852459.52,852459.52,852459.52
Dependency Wait Cycles,14362793738.24,10498313748.48,16456396144.64
Issue Wait Cycles,163467319869.44,175665837015.04,154897321656.32
Shared Memory Instructions,251891712.0,243269632.0,218103808.0
Register Spill Instructions,0.0,0.0,0.0
Global Memory Instructions,212992.0,212992.0,212992.0
Global Memory Read Instructions,180224.0,180224.0,180224.0
Global Memory Write Instructions,32768.0,32768.0,32768.0
Global Atomic Operations,0.0,0.0,0.0
