,omp 100 10000000 omp offloading kernel,sycl 100 10000000 sycl kernel,hip 100 10000000 hip_kernel
Runtime,84348120.0,85422864.0,37033415.0
SALU Instructions per wave,269.02,292.16,18.88
VALU Instructions per wave,0.0,0.0,0.0
IPC,1.47,1.55,0.25
L1 Requests per wave,36.06,35.78,35.78
L1 Hit Rate,0.0,0.0,0.0
L2 Requests per wave,4.52,4.53,4.52
L2 Hit Rate,10.78,10.71,10.7
Wavefront Occupancy (% of peak),1473.46,1518.12,2614.94
Dependency Wait Cycles per wave,9283.33,8630.88,9033.71
Issue Wait Cycles per wave,831.91,1559.46,196.49
Grid Size,10000128.0,9901119.37,9901119.37
#Threads,256.0,256.0,256.0
Shared Memory Allocated,512.0,507.0,507.0
Shared Memory Instructions per wave,6.76,2.98,2.98
Shared Memory Bank Conflicts (%),0.0,0.0,0.0
Register Spill Instructions per wave,0.0,0.25,0.25
Global Memory Instructions per wave,1.5,1.49,1.49
Global Memory Read Instructions per wave,1.0,1.0,1.0
Global Memory Write Instructions per wave,0.25,0.25,0.25
Coalesced Instructions (% of peak),66.72,78.04,78.04
Global Atomic Operations per wave,0.25,0.25,0.25
Global Read Bytes per wave ,257.26,257.55,257.23
Global Write/Atomic Bytes per wave,1.04,0.86,0.87
SALU Instructions,42034913.04,45198609.92405,2920830.2141499994
VALU Instructions,0.0,0.0,0.0
L1 Requests,5634447.12,5535344.547790625,5535344.547790625
L2 Requests,706259.0399999999,700813.6054078125,699266.5555062499
Dependency Wait Cycles,1450538879.16,1335240205.4397748,1397560016.6244168
Issue Wait Cycles,129987601.32,241256243.9490656,30397983.51580156
Shared Memory Instructions,1056263.52,461020.87066562497,461020.87066562497
Register Spill Instructions,0.0,38676.2475390625,38676.2475390625
Global Memory Instructions,234378.0,230510.43533281249,230510.43533281249
Global Memory Read Instructions,156252.0,154704.99015625,154704.99015625
Global Memory Write Instructions,39063.0,38676.2475390625,38676.2475390625
Global Atomic Operations,39063.0,38676.2475390625,38676.2475390625
Global Read Bytes ,40197389.519999996,39844270.21474218,39794764.61789218
Global Write/Atomic Bytes,162502.08000000002,133046.291534375,134593.3414359375
