,omp omp offloading kernel,sycl sycl kernel,cuda cuda_kernel
Runtime,2670507860.0,2560121465.0,2352630385.0
HtoD copy time,6650555.0,10919975.0,6807910.0
DtoH copy time,76020215.0,74939510.0,122863665.0
Instructions Executed,189239082904.34735,91406084079.51448,78775899415.99121
IPC,0.7150065319294541,0.3138084615384645,0.26276846153845596
Shared Memory Stores,0.0,0.0,0.0
Shared Memory Loads,0.0,0.0,0.0
Shared Memory Store Bank Conflicts,0.0,0.0,0.0
Shared Memory Load Bank Conflicts,0.0,0.0,0.0
Global Memory Load Instructions,7031232000.0,7031232000.0,6738264000.0
Global Memory Store Instructions,7051544448.0,7031232000.0,6738264000.0
Global Memory Load (MB),4881961.459999996,4776730.890000044,4677058.400000013
Global Memory Store (MB),5370394.519999915,5483706.019999857,5393611.540000005
Global Memory Load Throughput (GB/s),313.40246599554206,309.88242692307654,308.34721230769395
Global Memory Store Throughput (GB/s),344.41036194574707,355.2533446153836,353.8575361538451
Global Memory Load Bank Conflicts,7450501406.0,7547965787.0,5859788563.0
Global Memory Store Bank Conflicts,7203271226.0,7165421856.0,5529669949.0
L1 Cache Accesses (Bytes),6590911.909999258,6624039.130000284,7845234.150000222
L1 Cache Hits (%),42.562071774380136,42.73542384615413,35.776194615384505
L1 Cache Throughput (GB/s),245.15960270497737,248.00301000000402,372.71031923076265
L2 Cache Accesses (Bytes),6574408.799999619,5899610.13999936,7166106.520000034
L2 Cache Hits (%),66.50394759087196,67.73381153846246,65.0116069230809
L2 Cache Throughput (GB/s),296.4400391915583,247.78746923076136,372.51057384616996
#Divergent Branches,0.0,0.0,0.0
Warp Stalls - Barrier Not Issued,13638505.0,0.0,0.0
Warp Stalls - Branch Resolving Not Issued,259115.0,636952.0,648953.0
Warp Stalls - Dispatch Stall Not Issued,60026.0,92925.0,16310.0
Warp Stalls - Drain Not Issued,56998.0,6391779.0,6546791.0
Warp Stalls - IMC Miss Not Issued,328223.0,317170.0,295903.0
Warp Stalls - LG Throttle Not Issued,40603902.0,40457731.0,39849730.0
Warp Stalls - Long Scoreboard Not Issued,42041028.0,58805004.0,47646435.0
Warp Stalls - Math Pipe Throttle Not Issued,223485.0,23678.0,14895.0
Warp Stalls - Membar Not Issued,0.0,0.0,0.0
Warp Stalls - MIO Throttle Not Issued,52279.0,406008.0,470874.0
Warp Stalls - Misc Not Issued,15783.0,4042.0,12783.0
Warp Stalls - No Instructions Not Issued,187234.0,342647.0,353983.0
Warp Stalls - Not Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Short Scoreboard Not Issued,149858.0,1311134.0,1343824.0
Warp Stalls - Sleeping Not Issued,0.0,0.0,0.0
Warp Stalls - TEX Throttle Not Issued,188057.0,0.0,0.0
Warp Stalls - Wait Not Issued,1737207.0,1884020.0,1989847.0
Occupancy,1241266.9800000172,1044562.6800000013,1078118.419999996
