,omp 16384 10,sycl 16384 10,cuda 16384 10
Runtime,43263520.0,77036035.0,89986120.0
HtoD copy time,266761855.0,290743030.0,282537130.0
DtoH copy time,256187210.0,289971725.0,285176245.0
Instructions Executed,1208481896.8699944,1741194055.0299978,2279601382.9500194
IPC,0.3013531998045932,0.2732106805600763,0.30653395212505874
Shared Memory Stores,58720256.0,78668800.0,104857600.0
Shared Memory Loads,148897792.0,220272640.0,293601280.0
Shared Memory Store Bank Conflicts,110100480.0,165204480.0,220200960.0
Shared Memory Load Bank Conflicts,333929005.0,498524771.0,668858827.0
Global Memory Load Instructions,19922944.0,29894144.0,39845888.0
Global Memory Store Instructions,16777216.0,25174016.0,33554432.0
Global Memory Load (MB),499999.4099999995,739975.6799999983,1023311.3900000013
Global Memory Store (MB),476924.88,669634.6200000009,1026691.8100000023
Global Memory Load Throughput (GB/s),88.78349291646306,86.0180429827416,94.41361016121114
Global Memory Store Throughput (GB/s),186.26301416707378,168.95538261152726,204.53994137762552
Global Memory Load Bank Conflicts,0.0,0.0,0.0
Global Memory Store Bank Conflicts,0.0,0.0,0.0
L1 Cache Accesses (Bytes),486897.7400000003,716573.500000001,1003092.0399999997
L1 Cache Hits (%),21.792681973620052,17.728811462064485,21.45823155837839
L1 Cache Throughput (GB/s),98.97651196873473,94.47176489742766,106.13408891060102
L2 Cache Accesses (Bytes),487405.5900000004,714762.6300000013,1000851.8400000021
L2 Cache Hits (%),167.08331704934056,164.46100944317828,163.37456277479254
L2 Cache Throughput (GB/s),102.28239374694681,97.08460436339963,108.44810210063497
#Divergent Branches,31457280.0,47201280.0,62914560.0
Warp Stalls - Barrier Not Issued,115487.0,109879.0,200818.0
Warp Stalls - Branch Resolving Not Issued,87406.0,125142.0,176773.0
Warp Stalls - Dispatch Stall Not Issued,468.0,1205.0,2529.0
Warp Stalls - Drain Not Issued,1525.0,33331.0,29673.0
Warp Stalls - IMC Miss Not Issued,200081.0,162748.0,200407.0
Warp Stalls - LG Throttle Not Issued,56169.0,117746.0,121833.0
Warp Stalls - Long Scoreboard Not Issued,316873.0,741296.0,917448.0
Warp Stalls - Math Pipe Throttle Not Issued,0.0,0.0,0.0
Warp Stalls - Membar Not Issued,0.0,0.0,0.0
Warp Stalls - MIO Throttle Not Issued,31967.0,16285.0,75418.0
Warp Stalls - Misc Not Issued,289.0,422.0,528.0
Warp Stalls - No Instructions Not Issued,376016.0,718984.0,346823.0
Warp Stalls - Not Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Short Scoreboard Not Issued,237977.0,549927.0,511975.0
Warp Stalls - Sleeping Not Issued,0.0,0.0,0.0
Warp Stalls - TEX Throttle Not Issued,10.0,4.0,5.0
Warp Stalls - Wait Not Issued,230815.0,367512.0,474255.0
Occupancy,19515.12000000012,29840.150000000038,38793.49000000005
