,omp 8192 10000 10 100,sycl 8192 10000 10 100,hip 8192 10000 10 100
Runtime,146542811.0,152523032.0,142422482.0
SALU Instructions per wave,1313.82,476.9,441.65
VALU Instructions per wave,0.0,0.0,0.0
IPC,0.97,0.36,0.33
L1 Requests per wave,1350.02,666.17,666.17
L1 Hit Rate,2.34,0.0,0.0
L2 Requests per wave,326.66,164.42,164.43
L2 Hit Rate,0.17,0.14,7.37
Wavefront Occupancy (% of peak),3571.82,1102.77,1826.58
Dependency Wait Cycles per wave,105457.05,34034.29,56224.79
Issue Wait Cycles per wave,7763.97,1396.75,3661.58
Grid Size,1310720.0,655488.0,655488.0
#Threads,256.0,256.0,256.0
Shared Memory Allocated,512.0,256.0,256.0
Shared Memory Instructions per wave,113.52,12.5,2.6
Shared Memory Bank Conflicts (%),0.0,0.0,0.0
Register Spill Instructions per wave,0.0,0.0,0.0
Global Memory Instructions per wave,84.38,41.26,41.26
Global Memory Read Instructions per wave,84.38,41.01,41.01
Global Memory Write Instructions per wave,0.0,0.12,0.12
Coalesced Instructions (% of peak),100.0,99.41,99.41
Global Atomic Operations per wave,0.0,0.12,0.12
SALU Instructions,26907033.599999998,4884409.8,4523379.3
VALU Instructions,0.0,0.0,0.0
L1 Requests,27648409.6,6822913.14,6822913.14
L2 Requests,6689996.800000001,1683989.64,1684092.06
Dependency Wait Cycles,2159760384.0,348579198.18,575854299.1800001
Issue Wait Cycles,159006105.6,14305513.5,37501902.36
Shared Memory Instructions,2324889.6,128025.0,26629.2
Register Spill Instructions,0.0,0.0,0.0
Global Memory Instructions,1728102.4,422584.92,422584.92
Global Memory Read Instructions,1728102.4,420024.42,420024.42
Global Memory Write Instructions,0.0,1229.04,1229.04
Global Atomic Operations,0.0,1229.04,1229.04
