,omp 1024 5000,sycl 1024 5000,cuda 1024 5000
Runtime,5102145.0,5566340.0,5430980.0
HtoD copy time,24754210.0,24736465.0,24733245.0
DtoH copy time,25085.0,25180.0,25375.0
Instructions Executed,6875206041.910133,7187365170.290144,37524781.34
IPC,1.282961335676606,1.2823192019949925,1.2225000000000004
Shared Memory Stores,0.0,0.0,0.0
Shared Memory Loads,0.0,0.0,0.0
Shared Memory Store Bank Conflicts,0.0,0.0,0.0
Shared Memory Load Bank Conflicts,0.0,0.0,0.0
Global Memory Load Instructions,677265284.0,765951376.0,3199720.0
Global Memory Store Instructions,200659.0,230018.0,2298.0
Global Memory Load (MB),175091.96999999788,201038.5099999973,3510.770000000002
Global Memory Store (MB),0.0,0.0,0.0
Global Memory Load Throughput (GB/s),93.36228658536591,92.90188838416627,122.58749999999999
Global Memory Store Throughput (GB/s),0.0,0.0,0.0
Global Memory Load Bank Conflicts,234327.0,279066.0,1479.0
Global Memory Store Bank Conflicts,137466.0,165488.0,1465.0
L1 Cache Accesses (Bytes),76241.75999999918,92064.81999999906,541.7699999999998
L1 Cache Hits (%),98.99258474576422,98.99791642142709,97.11041666666667
L1 Cache Throughput (GB/s),36.97866388308978,37.01734228971967,17.467499999999998
L2 Cache Accesses (Bytes),1110941.2699999968,1310707.9499999955,7546.799999999999
L2 Cache Hits (%),104.35078431372543,104.34728998849245,110.35791666666667
L2 Cache Throughput (GB/s),513.398613333333,511.5681781838946,249.98125000000005
#Divergent Branches,1590985.0,1845893.0,10247.0
Warp Stalls - Barrier Not Issued,2170.0,2520.0,0.0
Warp Stalls - Branch Resolving Not Issued,576123.0,670352.0,2008.0
Warp Stalls - Dispatch Stall Not Issued,1867.0,2268.0,59.0
Warp Stalls - Drain Not Issued,92.0,96.0,15.0
Warp Stalls - IMC Miss Not Issued,9245.0,10879.0,54.0
Warp Stalls - LG Throttle Not Issued,0.0,0.0,0.0
Warp Stalls - Long Scoreboard Not Issued,1743518.0,2086291.0,5506.0
Warp Stalls - Math Pipe Throttle Not Issued,34614.0,42368.0,178.0
Warp Stalls - Membar Not Issued,0.0,0.0,0.0
Warp Stalls - MIO Throttle Not Issued,21.0,31.0,0.0
Warp Stalls - Misc Not Issued,2014.0,2677.0,49.0
Warp Stalls - No Instructions Not Issued,142419.0,188218.0,587.0
Warp Stalls - Not Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Short Scoreboard Not Issued,954725.0,1343478.0,3361.0
Warp Stalls - Sleeping Not Issued,0.0,0.0,0.0
Warp Stalls - TEX Throttle Not Issued,0.0,0.0,0.0
Warp Stalls - Wait Not Issued,1749063.0,2551676.0,5958.0
Occupancy,24999.96,36487.4,299.68
