,omp 12 omp offloading kernel,sycl 12 sycl kernel,cuda 12 cuda_kernel
Runtime,7297226170.0,42153033470.0,7187450820.0
HtoD copy time,1456500.0,1723570.0,1727640.0
DtoH copy time,122830.0,125600.0,124300.0
Instructions Executed,419252441268.81946,300732200604.2598,365850624181.68
IPC,1.506833333333333,1.3021666666666674,1.5139999999999998
Shared Memory Stores,3106099200.0,2331475968.0,3350790144.0
Shared Memory Loads,50661746688.0,29419130880.0,49123971072.0
Shared Memory Store Bank Conflicts,2329794684.0,4591420781.0,2192975571.0
Shared Memory Load Bank Conflicts,90432397463.0,13943459608.0,90194416815.0
Global Memory Load Instructions,29398007808.0,27483955200.0,28691988480.0
Global Memory Store Instructions,835584.0,138240.0,184320.0
Global Memory Load (MB),16861.71999999999,15579.770000000002,12540.589999999998
Global Memory Store (MB),16217.410000000003,14660.110000000015,14065.110000000004
Global Memory Load Throughput (GB/s),36.17058333333338,88.81191666666679,62.697916666666615
Global Memory Store Throughput (GB/s),133.02033333333327,116.71158333333338,115.388
Global Memory Load Bank Conflicts,306083105683.0,293455740037.0,305828564351.0
Global Memory Store Bank Conflicts,7612891.0,55388656.0,12924.0
L1 Cache Accesses (Bytes),45336.98000000007,61080.71,45552.730000000076
L1 Cache Hits (%),65.47241666666666,59.51141666666667,39.56666666666664
L1 Cache Throughput (GB/s),366.73016666666655,392.2325833333333,373.47508333333354
L2 Cache Accesses (Bytes),30086.80000000002,39773.119999999995,28952.039999999986
L2 Cache Hits (%),98.51600000000003,98.87066666666672,100.12850000000005
L2 Cache Throughput (GB/s),241.9631666666668,218.7780833333333,235.9693333333333
#Divergent Branches,50343936.0,26738688.0,50331648.0
Warp Stalls - Barrier Not Issued,12142140.0,6912186.0,13510688.0
Warp Stalls - Branch Resolving Not Issued,664576.0,390558.0,275346.0
Warp Stalls - Dispatch Stall Not Issued,26979.0,19573.0,37773.0
Warp Stalls - Drain Not Issued,54.0,107.0,116.0
Warp Stalls - IMC Miss Not Issued,3119.0,2215.0,3321.0
Warp Stalls - LG Throttle Not Issued,23436684.0,23230448.0,37320085.0
Warp Stalls - Long Scoreboard Not Issued,20956119.0,20941056.0,6461104.0
Warp Stalls - Math Pipe Throttle Not Issued,605060.0,576043.0,600433.0
Warp Stalls - Membar Not Issued,0.0,0.0,0.0
Warp Stalls - MIO Throttle Not Issued,14116861.0,5135023.0,13864773.0
Warp Stalls - Misc Not Issued,19415.0,8369.0,11927.0
Warp Stalls - No Instructions Not Issued,375809.0,238398.0,122893.0
Warp Stalls - Not Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Short Scoreboard Not Issued,12516435.0,7629928.0,14016591.0
Warp Stalls - Sleeping Not Issued,0.0,0.0,0.0
Warp Stalls - TEX Throttle Not Issued,4487.0,2286.0,15023.0
Warp Stalls - Wait Not Issued,6314067.0,5544914.0,4098116.0
Occupancy,4585.1100000000015,4105.310000000001,5104.360000000001
