,omp 10000000 1000,sycl 10000000 1000,cuda 10000000 1000
Runtime,339082975.0,312326425.0,411160790.0
HtoD copy time,11315605.0,12007755.0,11022110.0
DtoH copy time,14077880.0,20653335.0,20756620.0
Instructions Executed,58570199643.691696,31562558176.001553,29062558006.019264
IPC,1.821844999999985,1.0879999999999597,1.0030099999999973
Shared Memory Stores,1301216000.0,0.0,0.0
Shared Memory Loads,625000000.0,0.0,0.0
Shared Memory Store Bank Conflicts,1767174.0,0.0,0.0
Shared Memory Load Bank Conflicts,10825794.0,0.0,0.0
Global Memory Load Instructions,1250000000.0,1250000000.0,1250000000.0
Global Memory Store Instructions,625000000.0,625000000.0,625000000.0
Global Memory Load (MB),1054131.9799999997,1139979.320000004,1142096.8900000004
Global Memory Store (MB),578612.5299999982,637951.7399999996,638114.9199999999
Global Memory Load Throughput (GB/s),447.0656499999995,489.9894750000008,491.04824000000053
Global Memory Store Throughput (GB/s),250.28677000000036,280.4069850000001,280.51327000000066
Global Memory Load Bank Conflicts,91611421.0,108993823.0,97880645.0
Global Memory Store Bank Conflicts,37066208.0,35659180.0,35733106.0
L1 Cache Accesses (Bytes),1648450.9699999962,1802187.6299999973,1804817.0500000014
L1 Cache Hits (%),0.0,0.0,0.0
L1 Cache Throughput (GB/s),704.2254849999977,781.0938150000005,782.4085250000006
L2 Cache Accesses (Bytes),1648641.0400000222,1802245.1600000027,1804873.8500000003
L2 Cache Hits (%),37.63104999999964,37.62052999999983,37.61511499999968
L2 Cache Throughput (GB/s),704.3077750000015,781.1223200000006,782.4367099999997
#Divergent Branches,0.0,0.0,0.0
Warp Stalls - Barrier Not Issued,745709.0,0.0,0.0
Warp Stalls - Branch Resolving Not Issued,74231.0,70001.0,79931.0
Warp Stalls - Dispatch Stall Not Issued,1365.0,1938.0,8183.0
Warp Stalls - Drain Not Issued,2080.0,40362.0,57590.0
Warp Stalls - IMC Miss Not Issued,52043.0,32291.0,50956.0
Warp Stalls - LG Throttle Not Issued,152.0,9.0,32.0
Warp Stalls - Long Scoreboard Not Issued,6917142.0,6227811.0,6930003.0
Warp Stalls - Math Pipe Throttle Not Issued,168382.0,85320.0,158765.0
Warp Stalls - Membar Not Issued,0.0,0.0,0.0
Warp Stalls - MIO Throttle Not Issued,9349.0,9009.0,9409.0
Warp Stalls - Misc Not Issued,423.0,1266.0,3738.0
Warp Stalls - No Instructions Not Issued,43474.0,29678.0,43724.0
Warp Stalls - Not Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Short Scoreboard Not Issued,130052.0,86007.0,99869.0
Warp Stalls - Sleeping Not Issued,0.0,0.0,0.0
Warp Stalls - TEX Throttle Not Issued,7314.0,0.0,0.0
Warp Stalls - Wait Not Issued,583030.0,259608.0,316116.0
Occupancy,142845.69000000012,179008.89999999994,176951.86000000042
